# CHB	JPT	CHS	CDX	KHV	CEU	TSI	FIN	GBR	IBS	YRI	LWK	GWD	MSL	ESN	ASW	ACB	MXL	PUR	CLM	PEL	GIH	PJL	BEB	STU	ITU
1.562994005710013880e+04	1.553742564457779008e+04	1.536901077717631051e+04	1.542067458530862859e+04	1.570634059993587834e+04	1.510779564086257233e+04	1.568386555185990437e+04	1.496224764397096988e+04	1.507837965845969666e+04	1.529328313005580094e+04	2.061912052034535373e+04	2.049468715118481123e+04	2.048498617118311449e+04	2.082175811876446096e+04	2.055953867978455673e+04	2.090889925681483510e+04	2.070812299624055595e+04	1.541130883881707268e+04	1.680332852863164953e+04	1.580018221992807048e+04	1.400976699988617111e+04	1.578336035063515737e+04	1.643965691443492324e+04	1.624309811815244757e+04	1.585954712149724764e+04	1.656124225818099148e+04
6.130396193175398366e+03	6.498517998965858169e+03	5.708120420756786189e+03	5.841948218231966166e+03	6.055806853435314224e+03	8.547993827641666940e+03	8.599253462215760010e+03	8.206925122506521802e+03	8.396027289297739117e+03	8.705846782834372789e+03	1.002867065251304302e+04	1.032454528639868113e+04	1.006563489580014902e+04	1.018579286554260034e+04	9.989426505525159882e+03	1.026967762249691623e+04	1.019072718493835600e+04	8.188268946733282064e+03	9.030144568706147766e+03	8.617412832576314031e+03	6.968425444655367755e+03	8.073282583603951934e+03	8.344758726151638257e+03	7.940797461190458307e+03	7.817584149001485457e+03	7.950739359346257515e+03
1.269063332747095228e+04	1.298287240200833185e+04	1.281233004429507673e+04	1.294152311991385977e+04	1.310006115336392941e+04	1.359026492647992563e+04	1.346064027550500577e+04	1.385138608405296873e+04	1.360117830404774213e+04	1.375802848160940084e+04	1.761174879712430629e+04	1.780467549260608575e+04	1.743696172502350964e+04	1.771012054953135885e+04	1.752491938772946378e+04	1.812615312047633051e+04	1.802341402526372985e+04	1.579948381209031686e+04	1.604569689020286933e+04	1.569218096717314620e+04	1.500629439723247015e+04	1.535388129820326867e+04	1.511763988319034434e+04	1.491425562920852644e+04	1.495916014342779272e+04	1.535002860187329679e+04
1.562428028468189405e+04	1.593687791178803673e+04	1.542319728927762844e+04	1.525697969111777093e+04	1.455045184026288189e+04	1.947098147058608083e+04	1.962439137972086246e+04	1.740490214446121172e+04	2.025300295890331836e+04	2.051335552898303285e+04	2.351665467365444420e+04	2.322123568064323990e+04	2.352155769481009338e+04	2.420813062997617453e+04	2.315857272039969757e+04	2.262424115013225673e+04	2.380627953597363376e+04	1.785349431181486580e+04	2.013853730389199336e+04	1.859744529255908128e+04	1.448404033561299548e+04	1.730132371928937937e+04	1.694455709322327311e+04	1.676794445870323761e+04	1.579762654894040497e+04	1.601670404493303977e+04
1.543557030127908729e+04	1.529511245354826315e+04	1.546482712105360952e+04	1.569230720715703683e+04	1.534532212694420559e+04	1.599421544523347802e+04	1.608476474567298465e+04	1.582755716453593595e+04	1.626906620259541887e+04	1.617389963659786554e+04	2.025076909697805968e+04	2.029219521145547333e+04	2.044584344978050285e+04	2.042545759459775945e+04	2.043646759250294781e+04	2.019591818633299044e+04	2.027449243330138779e+04	1.626805202875153554e+04	1.701739706953601490e+04	1.698678656637212771e+04	1.517234466743159282e+04	1.644169872232161651e+04	1.643804985326434326e+04	1.622416063193181981e+04	1.642454306196769176e+04	1.622362930205314115e+04
1.652856545251846910e+04	1.724143215673744271e+04	1.684007302701454319e+04	1.624743464140334254e+04	1.628169189326310516e+04	2.006331828512538414e+04	2.095516641542134312e+04	1.846097653139874092e+04	1.957856872773626674e+04	2.056007572996469753e+04	2.388258660483657150e+04	2.343575553561363267e+04	2.412584569871821077e+04	2.460417899688287434e+04	2.368293879700568141e+04	2.460586063573235151e+04	2.448616785735722806e+04	1.947048626624801545e+04	2.154941718232888888e+04	2.108411792369018804e+04	1.689822697642967250e+04	2.072365833377896342e+04	2.126638148071453179e+04	2.057472445895267811e+04	2.122993275221642034e+04	2.101813669793955341e+04
6.291427145444034068e+03	6.490209394764087847e+03	6.255937881869909688e+03	6.052193909325630557e+03	6.646454167168022650e+03	8.083624230408388939e+03	7.967231073966813710e+03	7.873328662536921911e+03	7.952521697266147385e+03	8.099668362602821617e+03	1.206809266658482375e+04	1.206962128351654428e+04	1.197484855443368906e+04	1.223446648824113981e+04	1.204216071234123228e+04	1.191852030711065709e+04	1.199942593936167577e+04	7.967274356244929550e+03	9.501111073839283563e+03	8.989914804916053981e+03	6.903406035104572766e+03	8.225509439981922696e+03	8.168802473836482022e+03	8.038474573938745380e+03	8.157039353291807856e+03	8.248510324927709007e+03
8.116976750134860595e+03	8.022951069585126788e+03	8.103874249965305353e+03	8.079043954010217021e+03	8.521797954350990040e+03	8.300776133164203202e+03	9.032028397890619090e+03	8.223260219015863186e+03	8.045218157989196698e+03	8.926461631537189533e+03	1.064260627997199845e+04	1.080709289611885106e+04	1.068946889514442773e+04	1.058748913921546955e+04	1.062346188116793019e+04	1.083666612552727202e+04	1.077526081374801834e+04	8.983871599711164890e+03	9.609683283041447794e+03	9.034627172350297769e+03	8.153622298321211019e+03	8.767249824021133463e+03	9.007425838760193074e+03	9.095846721897742100e+03	8.742038542186684936e+03	8.900372204132345360e+03
7.352940531057105545e+03	7.592288281622638351e+03	7.457837706277392499e+03	7.194010427552440888e+03	7.319911893904590215e+03	8.696897287097135631e+03	8.480350019877902014e+03	8.381866511509575503e+03	8.545229563197008247e+03	8.431560840557618576e+03	1.036511649112509986e+04	1.005700472829700811e+04	1.024405919270132836e+04	1.018012604369979272e+04	1.030634238303030725e+04	1.020462050933629689e+04	1.046901368111071133e+04	8.553645480121749642e+03	9.661494491418850885e+03	9.101287565433471173e+03	7.489636168337493473e+03	8.529808934352393408e+03	8.702604690267095066e+03	8.592427872083106195e+03	8.572077400971829775e+03	8.559878442830166023e+03
6.661876254213842913e+03	7.049297408325815013e+03	6.631336485981764781e+03	6.732539015159032715e+03	6.788942673627037948e+03	7.283584843996194650e+03	7.351036305192676082e+03	7.099873652898674663e+03	7.380998822493503212e+03	7.289890936656658596e+03	9.327619613853543342e+03	9.666048622623608026e+03	9.594548577929223029e+03	9.594810673190761008e+03	9.380413463265207611e+03	9.289237879648690068e+03	9.455265303416248571e+03	7.158554886601739781e+03	8.058637581704387230e+03	7.706820766361932328e+03	6.243059363401700466e+03	7.265649536189387618e+03	7.341455521989178123e+03	7.303789364136699987e+03	7.361116487122835679e+03	7.332398784183027601e+03
