# CHB	JPT	CHS	CDX	KHV	CEU	TSI	FIN	GBR	IBS	YRI	LWK	GWD	MSL	ESN	ASW	ACB	MXL	PUR	CLM	PEL	GIH	PJL	BEB	STU	ITU
4.876618440655685434e-04	4.889110409968252602e-04	4.815402623908767409e-04	4.790513007077089823e-04	4.890333986952751909e-04	4.733373871661687520e-04	4.919968336435800267e-04	4.674571779383737322e-04	4.718843342859949867e-04	4.759726675616796705e-04	6.445812177047243385e-04	6.403149938983485057e-04	6.454878428848689247e-04	6.494628974750307716e-04	6.438148750305372177e-04	6.480737394570903814e-04	6.462848844539285063e-04	4.727885369952299402e-04	5.210075898969927788e-04	4.842567656086623710e-04	4.178613728605288591e-04	4.873509228840251155e-04	5.058524942517951930e-04	5.015542330263985001e-04	4.884176337971824844e-04	5.027132785971145717e-04
1.488463103714519323e-04	1.580045339642879062e-04	1.390952683364396524e-04	1.413982819715021001e-04	1.480903914533112807e-04	2.081865587790233116e-04	2.039793925056289034e-04	1.983969321684195914e-04	2.079856716005021755e-04	2.131697022989572754e-04	2.395976211620399121e-04	2.435279197826974900e-04	2.416223138494555779e-04	2.426119267430366119e-04	2.422105231579883388e-04	2.459950736831452434e-04	2.458024851004759993e-04	2.004997021039204186e-04	2.199513677739335898e-04	2.102743342540917305e-04	1.710403479404048023e-04	1.918643019886958007e-04	1.978944792413472084e-04	1.897500742198388838e-04	1.853844647227992500e-04	1.875467842568401299e-04
3.515921301399656620e-04	3.549987031746083626e-04	3.547038764897933916e-04	3.527814158589241017e-04	3.597530823488994918e-04	3.767672516510017604e-04	3.702127131329445951e-04	3.793345400599011479e-04	3.753731790224752013e-04	3.802717516924963392e-04	4.872210622108772132e-04	4.883937540594696482e-04	4.782943229168583311e-04	4.859968361558894144e-04	4.869690110822754163e-04	4.989241373345822735e-04	4.982315554308082471e-04	4.239801738497687446e-04	4.329362514404359939e-04	4.260907236040064206e-04	3.991162588320164534e-04	4.080990625733218872e-04	4.040968418660500182e-04	3.945507035232403916e-04	3.984849548240455689e-04	4.054096489802456495e-04
4.094309889984457085e-04	4.105766340644879876e-04	4.022507877343532170e-04	4.037925298615521351e-04	3.856445151517402044e-04	4.813675115282732044e-04	4.836684608384754307e-04	4.323202502629861508e-04	4.942316248416430855e-04	5.026620449840762169e-04	5.876086464658500244e-04	5.758374475794844844e-04	5.933655413099946530e-04	6.081862698526567480e-04	5.768149020106957741e-04	5.662457354010862155e-04	5.931524217909033133e-04	4.509560342143860141e-04	4.962386042487492094e-04	4.646026450190659314e-04	3.689831340025401035e-04	4.343639119912748184e-04	4.296356149939527247e-04	4.252639944615537924e-04	3.997835140966577317e-04	4.059834219129709832e-04
4.566760771623549456e-04	4.524196819417063034e-04	4.573817874856558169e-04	4.640151468253613529e-04	4.520007051445928720e-04	4.888613250349408508e-04	4.908288475464440623e-04	4.767761603968108950e-04	4.938374765301279746e-04	4.911971676037351102e-04	6.025038964281622788e-04	6.074460080095037432e-04	6.068471738452191301e-04	6.032922112352000774e-04	6.123877745273172179e-04	6.007087621962533056e-04	6.028144720474509517e-04	4.889823674415846476e-04	5.194454906886267730e-04	5.185302057452670799e-04	4.639002740293429457e-04	4.924603818235759149e-04	4.994482143003930704e-04	4.893679459496197339e-04	4.896332034341025234e-04	4.809032511787858055e-04
4.738088958730051078e-04	4.838006273790045378e-04	4.809708384038170726e-04	4.668860408185115094e-04	4.723284501127464406e-04	5.412339292984649081e-04	5.592682216986550117e-04	5.061465072732559143e-04	5.307746529861328546e-04	5.501063857082961073e-04	6.437787584397844072e-04	6.298521588587065439e-04	6.410676780638734345e-04	6.627195781249392873e-04	6.437535119515776488e-04	6.545524302864252821e-04	6.587133659457211068e-04	5.282738257391513198e-04	5.808661694378192217e-04	5.663186138972268980e-04	4.740135619730024923e-04	5.530611410935292035e-04	5.654896815376114685e-04	5.515418615995696956e-04	5.633321122509605270e-04	5.595673696953287844e-04
1.574317876845694297e-04	1.567958522151862702e-04	1.543707092800271547e-04	1.473770836621334770e-04	1.602200282415719575e-04	1.898328614429986344e-04	1.912540420777584008e-04	1.850571689298593321e-04	1.891747136958338922e-04	1.938352271038150322e-04	2.695566413719040514e-04	2.687328533745276605e-04	2.727609307978378240e-04	2.772040433660474313e-04	2.727143048468627781e-04	2.675472742884534190e-04	2.692850191996077453e-04	1.900000018836571947e-04	2.223712192108967653e-04	2.080843164311722891e-04	1.648046831630321427e-04	1.943741875574027205e-04	1.959240978198889516e-04	1.921116672015921428e-04	1.934890132889921976e-04	1.984814597717103678e-04
1.851743005159125013e-04	1.826170005263032746e-04	1.833986227174092215e-04	1.825165100596501410e-04	1.934956633729559760e-04	1.887134139578112470e-04	2.019812019888998116e-04	1.852265139905485600e-04	1.821396738705490144e-04	2.006223119231068282e-04	2.472296085321891716e-04	2.498749702897273351e-04	2.483497574375724375e-04	2.490964651340431811e-04	2.456948386078383595e-04	2.523796316167616093e-04	2.499773390477074125e-04	2.021634302508247094e-04	2.179320843905378790e-04	2.041745067241054388e-04	1.861047140144611416e-04	2.006451069093457976e-04	2.025608442573588323e-04	2.044479571643037518e-04	1.992457849733133678e-04	2.012447277653603721e-04
1.735545390702594043e-04	1.779590629144884738e-04	1.762448148105048905e-04	1.720075914315045008e-04	1.742389734278590517e-04	2.132622537373561101e-04	2.084910511924597154e-04	2.069881709937196356e-04	2.096121389323705433e-04	2.107725775062530991e-04	2.322934289504275393e-04	2.292799538515103482e-04	2.311218648641956256e-04	2.315343754458488719e-04	2.343908135640817821e-04	2.334120613648844541e-04	2.388716154092824639e-04	2.038521827155031271e-04	2.311542906648688994e-04	2.188222581194630592e-04	1.787010681927108594e-04	2.066917890258910954e-04	2.087249458665209063e-04	2.056992702969719761e-04	2.044583817799299624e-04	2.070595124504306928e-04
1.643158590598704143e-04	1.692130896494754594e-04	1.625810237332444490e-04	1.646001687986690693e-04	1.638591723074586703e-04	1.722326447847024916e-04	1.752776300869908520e-04	1.679524946271203974e-04	1.738068403902263579e-04	1.720527852284267265e-04	2.266862887840598480e-04	2.336867474568285941e-04	2.359190746798700783e-04	2.347763252475274138e-04	2.276053915772580864e-04	2.256239271923065931e-04	2.272386032714612640e-04	1.723691047155616503e-04	1.941549126924337130e-04	1.833968789032367061e-04	1.552658168926585231e-04	1.710709692428447569e-04	1.705489317446932755e-04	1.721030571552732192e-04	1.703805889382358310e-04	1.716625712695017800e-04
